Name of a measurement,Time,Coordinate of the tip node,Axon length ($\mu m$),Speed from $t_{i-1}$ to $t_{i}$ ($\mu m / 	ext{sec}$),Axon growth distance from $t_{i-1}$ to $t_{i}$ ($\mu m$),Angle change from $t_{i-1}$ to $t_{i}$ (%),Total growth during all time ($\mu m$),Total speed during all time ($\mu m / 	ext{sec}$),Total angle change (%)
x,0,[-12.011393  17.062913],20.866637530901265,0.0,0.0,180.0,,,
x,1,[-16.61389   25.145346],30.138177887719348,9.301005420625135,9.301005420625135,5.484418302558964,,,
x,2,[-20.318338  31.992962],37.89966327839455,7.785420982076706,7.785420982076706,1.2464500977276316,,,
x,3,[-24.022786  35.136131],42.563387422184306,4.858234900379458,4.858234900379458,21.27322940374947,,,
x,4,[-30.084611  47.147525],55.92828383427249,13.454341609824722,13.454341609824722,22.90705047539788,,,
x,5,[-38.503812  55.229957],67.32675314281234,11.67084626379016,11.67084626379016,19.39030235633544,,,
x,6,[-48.157828  64.99623 ],80.89305478154775,13.732447459895319,13.732447459895319,1.5003314493283426,,,
x,7,[-51.974533  69.261958],86.59428911055193,5.723956011973621,5.723956011973621,2.8486339385626707,65.74034421549393,8.217543026936742,90.0
